      9 zone	_
      9 showbiz	2035126553
      9 jp	hserver
      9 imp	aiasahi
      9 hserver	SITE
      9 aiasahi	jp
      9 _	showbiz
      9 UTF	8
      9 SITE	CNNCOJP
      9 SHOWBIZ	AREA
      9 OENCJP	UTF
      9 IFRAME	imp
      9 CNNCOJP	SHOWBIZ
      9 2035126553	OENCJP
      7 し	た
      6 ロナルド	選手
      6 し	て
      5 て	いる
      5 co	jp
      5 KEYWORD	zone
      4 マヨーガ	さん
      4 の	ミイラ
      4 た	と
      4 CNN	co
      4 AAMSZ	300
      4 300	X
      3 ２	０
      3 １	１
      3 ０	０
      3 選手	は
      3 を	撮影
      3 れ	た
      3 など	の
      3 と	し
      3 さ	れ
      3 X	250
      3 K	EYWORD
      3 EYWORD	zone
      3 Cookie	など
      3 09	27
      2 ＳＦ	夜
      2 ＣＮＮ	が
      2 ７	歳
      2 ２	５
      2 ２	機
      2 １	０
      2 １	キロ
      2 ０	年
      2 飛行	士
      2 頭	の
      2 陥没	穴
      2 重	さ
      2 謎	解明
      2 設定	や
      2 解明	へ
      2 視聴	CNN
      2 見つかる	重
      2 良心	に
      2 絶景	飛行
      2 競技	会場
      2 穴	グレート
      2 着陸	成功
      2 目	の
      2 発見	すばる
      2 疑惑	を
      2 珍しい	スカラベ
      2 猫	の
      2 特集	世界
      2 深海	で
      2 海底	探査
      2 海上	の
      2 歳	少女
      2 機	２
      2 機	目
      2 横向き	で
      2 東京	を
      2 未	完成
      2 望遠鏡	で
      2 最果て	の
      2 最大	の
      2 日本	で
      2 数	十
      2 操縦	席
      2 探査	で
      2 強風	の
      2 強調	し
      2 強く	否定
      2 年	変わり果て
      2 席	から
      2 巨大	陥没
      2 完成	機
      2 太陽系	の
      2 天体	ファー
      2 夜	の
      2 変わり果て	た
      2 士	が
      2 原石	見つかる
      2 十	体
      2 北京	五輪
      2 利用	し
      2 写真	特集
      2 偽	ニュース
      2 体	珍しい
      2 人間	を
      2 五輪	から
      2 世界	最大
      2 レイプ	疑惑
      2 レイプ	さ
      2 モンスター	を
      2 ミイラ	も
      2 ミイラ	が
      2 ブルーホール	海底
      2 ファー	アウト
      2 テレビ	視聴
      2 チキン	モンスター
      2 タコ	で
      2 スカラベ	の
      2 ザンビア	で
      2 グレート	ブルーホール
      2 カリブ海	の
      2 オットセイ	海上
      2 エメラルド	の
      2 エジプト	で
      2 アウト	発見
      2 を	見る
      2 を	強く
      2 を	タコ
      2 や	使用
      2 も	エジプト
      2 まるで	ＳＦ
      2 は	偽
      2 は	ない
      2 の	Ａｎ
      2 の	訴え
      2 の	設定
      2 の	絶景
      2 の	東京
      2 の	未
      2 の	最果て
      2 の	巨大
      2 の	天体
      2 の	原石
      2 の	人間
      2 の	なか
      2 の	ない
      2 について	は
      2 に	曇り
      2 に	レイプ
      2 に	も
      2 に	は
      2 に	なり
      2 なか	横向き
      2 ない	チキン
      2 ない	と
      2 と	述べ
      2 と	強調
