      1 含ま	れ
      1 名乗り出	た
      1 受け	非
      1 受け	性的
      1 受け	1980
      1 取り締まり	で
      1 反発	する
      1 反発	し
      1 反	政府
      1 千	人
      1 十分	で
      1 北朝鮮	の
      1 加わっ	た
      1 利用	規約
      1 処罰	さ
      1 処刑	を
      1 再開	を
      1 再	配備
      1 内容	に
      1 兵士	約
      1 兵士	の
      1 兵士	に
      1 兵士	が
      1 共有	パネル
      1 共同	統治
      1 公約	し
      1 公式	謝罪
      1 公式	記録
      1 公式	統計
      1 公式	の
      1 公式	に
      1 全羅南道	の
      1 全土	で
      1 全国	に
      1 全	斗煥
      1 光州	奪還
      1 光州	は
      1 光	が
      1 傷	と
      1 個人	情報
      1 価値	が
      1 使い方	News
      1 件	の
      1 以上	が
      1 令	に
      1 代わり	私
      1 代	の
      1 今年	5
      1 人生	を
      1 人数	は
      1 人	以上
      1 人	に
      1 事件	当時
      1 事件	を
      1 事件	と
      1 事件	で
      1 主義	を
      1 主張	し
      1 中略	説明
      1 中心	地
      1 中心	と
      1 中	抗議
      1 中	に
      1 不明	と
      1 不当	に
      1 下げ	言葉
      1 万	の
      1 一部	は
      1 一般	市民
      1 レイプ	さ
      1 リンク	方針
      1 リンク	を
      1 リベラル	派
      1 メニュー	検索
      1 ムン	ジェイン
      1 ホーム	記事
      1 パネル	を
      1 ニュース	BBC
      1 ナギョン	首相
      1 ドゥファン	将軍
      1 トピックス	性的
      1 トップ	に
      1 デモ	の
      1 デモ	に
      1 チョン	ドゥファン
      1 ソンオク	氏
      1 ジェイン	氏
      1 コンテンツ	へ
      1 コピー	する
      1 クーデター	を
      1 キム	氏
      1 キム	ソンオク
      1 イ	ナギョン
      1 ん	詳しい
      1 を	閉じる
      1 を	述べ
      1 を	軍
      1 を	踏みにじっ
      1 を	起こし
      1 を	負わ
      1 を	負っ
      1 を	負い
      1 を	調査
      1 を	確認
      1 を	犯し
      1 を	止める
      1 を	擁護
      1 を	握る
      1 を	始める
      1 を	唱え
      1 を	共有
      1 を	共同
      1 を	公約
      1 を	コピー
      1 を	さらに
      1 れる	抗議
      1 れ	兵士
      1 れ	ない
      1 られ	て
      1 よる	と
      1 や	性的
      1 や	妊娠
      1 もしくは	行方
      1 も	広く
      1 も	含ま
      1 も	加わっ
      1 も	価値
      1 も	6
      1 ませ	ん
      1 ます	Submit
      1 ます	Email
      1 ほど	ひどい
      1 べく	処罰
      1 へ	移動
      1 ひどい	と
      1 は	韓国
      1 は	述べ
      1 は	責任
      1 は	謝罪
      1 は	記者
      1 は	罪
      1 は	約
      1 は	深く
      1 は	最近
      1 は	多く
      1 は	十分
      1 は	公式
      1 は	全羅南道
      1 は	光州
      1 は	光
      1 は	不当
      1 は	デモ
      1 は	ずっと
      1 は	この
      1 は	こちら
      1 は	1980
      1 は	10
      1 の	難関
      1 の	際
      1 の	関与
      1 の	道庁
      1 の	軍
      1 の	謝罪
      1 の	調査
      1 の	認可
      1 の	被害
      1 の	虐殺
      1 の	流れ
      1 の	権利
      1 の	李
      1 の	文
      1 の	数字
      1 の	数
      1 の	指導
      1 の	抗議
      1 の	性的
      1 の	少女
      1 の	実権
      1 の	女性
      1 の	国境
      1 の	再開
      1 の	内容
      1 の	公式
      1 の	全
      1 の	人生
      1 の	中
      1 の	一部
      1 の	一般
      1 の	キム
      1 の	を
      1 の	ため
      1 に対する	軍
      1 に対する	調査
      1 に対する	詳細
      1 に対する	兵士
      1 に対し	言葉
      1 による	強姦
      1 について	個人
      1 について	さらに
      1 について	こちら
      1 について	Email
      1 に	集まっ
      1 に	軍
      1 に	起き
      1 に	異議
      1 に	殺さ
      1 に	挟ま
      1 に	戻る
      1 に	戒厳
      1 に	当時
      1 に	強姦
      1 に	就任
      1 に	対応
      1 に	大統領
      1 に	増加
      1 に	囲ま
      1 に	同国
      1 に	反発
      1 に	動員
      1 に	代わり
      1 に	レイプ
      1 に	よる
      1 に	なっ
      1 に	ある
      1 に	BBC
      1 なかっ	た
      1 ない	深い
      1 ない	ほど
      1 ない	こと
      1 な	調査
      1 な	取り締まり
      1 な	い
      1 として	頭
      1 と	長い
      1 と	鄭
      1 と	述べ
      1 と	語っ
      1 と	発表
      1 と	痛み
      1 と	疑わ
      1 と	抗議
      1 と	感じ
      1 と	思う
      1 と	名乗り出
      1 と	反発
      1 と	北朝鮮
      1 と	主張
      1 と	は
      1 と	し
      1 と	いう
      1 でき	な
      1 で	起き
      1 で	拘束
      1 で	広がり
      1 で	デモ
      1 で	ない
      1 で	200
      1 で	1980
      1 で	17
      1 て	韓国
      1 て	軍
      1 て	こ
      1 て	き
      1 だろ	う
      1 だけ	で
      1 ため	空挺
      1 ため	再
      1 ただ	被害
      1 たい	と
      1 た	際
      1 た	軍
      1 た	被害
      1 た	米国
      1 た	目撃
      1 た	無実
      1 た	治安
      1 た	民衆
      1 た	李
      1 た	政府
      1 た	投入
      1 た	性的
      1 た	女性
      1 た	国家
      1 た	同国
      1 た	反
      1 た	兵士
      1 た	公式
      1 た	光州
      1 た	今年
      1 た	人数
      1 た	中略
      1 た	リベラル
      1 た	の
      1 た	として
      1 た	だろ
      1 た	しかし
      1 た	が
      1 た	5
      1 た	1979
      1 せ	た
      1 ずっと	多かっ
      1 する	共有
      1 する	https
      1 する	Share
      1 しかる	べく
      1 しかし	2017
      1 この	話題
      1 この	記事
      1 この	戒厳
      1 この	問題
      1 この	リンク
      1 こと	に
      1 こちら	外部
      1 こ	なかっ
      1 くう	て
      1 き	た
      1 が	韓国
      1 が	鎮圧
      1 が	確認
      1 が	発砲
      1 が	生き残っ
      1 が	無実
      1 が	無
      1 が	殺害
      1 が	死亡
      1 が	暴力
      1 が	指示
      1 が	戒厳
      1 が	当て
      1 が	動員
      1 が	クーデター
      1 が	ない
      1 が	しかる
      1 が	この
      1 から	兵士
      1 う	と
      1 いる	英語
      1 いる	強姦
      1 いる	と
      1 いる	が
      1 いる	5
      1 いう	ただ
      1 い	部隊
      1 い	痛み
      1 ある	非
      1 www	bbc
      1 with	こちら
      1 with	WhatsApp
      1 with	Mixi
      1 with	Hatena
      1 the	BBC
      1 rapes	during
      1 protest	crackdown
      1 links	コンテンツ
      1 japanese	46133884
      1 https	www
      1 for	rapes
      1 during	1980
      1 crackdown	関連
      1 copyright	Getty
      1 copyright	EPA
      1 com	japanese
      1 caption	韓国
      1 caption	1980
      1 bbc	com
      1 apologises	for
      1 ____________________	Submit
      1 WhatsApp	Share
      1 Twitter	共有
      1 Submit	共有
      1 Submit	BBC
      1 South	Korea
      1 Personalised	Newsletters
      1 Parental	Guidance
      1 Newsletters	Copyright
      1 News	韓国
      1 News	BBC
      1 Mixi	Share
      1 Line	トップ
      1 Line	この
      1 Korea	apologises
      1 Images	Image
      1 Homepage	Accessibility
      1 Hatena	Share
      1 Gwangju	protest
      1 Guidance	Contact
      1 Getty	Images
      1 Get	Personalised
      1 EPA	Image
      1 Copyright	2019
      1 Cookies	Accessibility
      1 Contact	the
      1 BBC	外部
      1 BBC	サイト
      1 BBC	は
      1 BBC	について
      1 BBC	Get
      1 Arts	利用
      1 Arts	メニュー
      1 Accessibility	links
      1 Accessibility	Parental
      1 Accessibility	News
      1 8	日
      1 6	日
      1 46133884	共有
      1 27	日
